code,description
1,Contrato (termo inicial)
2,Comodato
3,Arrendamento
4,Concessão
5,Termo de Adesão
6,Convênio
7,Empenho
8,Outros
9,Termo de Execução Descentralizada (TED)
10,Acordo de Cooperação Técnica (ACT)
11,Termo de Compromisso
12,Carta Contrato
