code,description
1,Cessão
2,Compras
3,Informática (TIC)
4,Internacional
5,Locação Imóveis
6,Mão de Obra
7,Obras
8,Serviços
9,Serviços de Engenharia
10,Serviços de Saúde
11,Alienação de bens móveis/imóveis
