file,classes
web/src/components/RawArchiveStatus.svelte,retry-row btn btn-outline status-grid card skeleton-card skeleton skeleton-label skeleton-value source-bar source-kicker btn-sm archive-facts
web/src/components/SchemaChangelogView.svelte,changelog changelog-header lead changelog-list changelog-entry entry-date entry-badge entry-badge-- entry-table entry-column entry-note
web/src/components/StatCard.svelte,card card-link card-title-bar stat-label stat-value stat-hint
web/src/components/SupplierDetailView.svelte,actions-bar btn btn-outline rollup-grid rollup-card big-figure muted competitor-list competitor-rank competitor-name inline-link competitor-cnpj competitor-count recent-list recent-header
web/src/components/ThemeToggle.svelte,theme-btn
web/src/components/TrustStrip.astro,trust-strip container trust-head kicker trust-grid trust-card trust-kicker trust-link
web/src/components/WatchDetailView.svelte,watch-detail container head kicker meta diff diff-empty diff-list diff-title diff-meta all muted all-list
web/src/components/WatchList.svelte,watch-list container watch-head kicker watch-sub watch-grid watch-card watch-meta watch-type watch-cnpj watch-label watch-actions watch-open watch-remove
web/src/layouts/Layout.astro,sr-only page-content portal-footer container footer-content footer-links
web/src/pages/404.astro,not-found-container container modernist-glitch actions btn btn-primary
web/src/pages/desenvolvedores.astro,container container--narrow page-header lead method-box code-row manifest-link
web/src/pages/explorador.astro,container page-header
web/src/pages/index.astro,tools-strip container tools-head kicker tools-sub tools-grid tool-card tool-label tool-blurb
web/src/pages/schema/changelog.astro,container container--narrow
web/src/pages/sobre.astro,container container--narrow page-header lead prose method-box
web/src/pages/status.astro,status-section container status-header header-with-badge section-title badge operational section-desc status-content status-content--coverage
